Date,Open,High,Low,Close,Volume
2020-01-02,109.52,111.87,109.52,111.62,1704827
2020-01-03,110.66,110.81,108.67,109.48,2036380
2020-01-06,108.39,109.35,107.35,108.97,1690665
2020-01-07,109.52,110.27,108.65,109.67,2254128
2020-01-08,109.14,110.32,107.92,110.12,1818646
2020-01-09,111.19,111.53,110.89,111.40,1735444
2020-01-10,111.27,111.36,109.14,109.14,2057534
2020-01-13,109.82,109.97,108.03,108.91,1950968
2020-01-14,108.88,109.99,108.25,109.52,1620841
2020-01-15,109.31,109.82,108.86,108.89,1364682
2020-01-16,108.57,109.20,108.22,109.20,1596188
2020-01-17,109.70,110.17,109.46,110.17,2426127
2020-01-20,109.78,110.36,109.48,109.91,1050304
2020-01-21,109.65,110.49,109.01,110.27,1244010
2020-01-22,110.40,111.08,109.10,109.16,1710320
2020-01-23,108.69,109.55,108.33,108.76,1667947
2020-01-24,109.42,111.57,109.40,110.95,2244963
2020-01-27,109.52,109.63,107.88,108.03,2696175
2020-01-28,108.67,108.93,107.54,108.54,1840982
2020-01-29,108.46,109.78,108.22,109.44,1599366
2020-01-30,108.48,108.48,106.71,107.01,2039436
2020-01-31,107.16,107.41,104.83,105.04,2707006
2020-02-03,104.74,105.49,104.17,104.64,2381787
2020-02-04,105.43,106.30,105.06,106.30,2333942
2020-02-05,104.60,107.60,103.85,106.99,3891885
2020-02-06,108.03,108.14,105.14,105.88,3209423
2020-02-07,105.61,106.27,104.95,105.51,2464001
2020-02-10,105.22,105.96,105.12,105.51,1568163
2020-02-11,105.81,107.11,104.75,106.62,2472888
2020-02-12,106.97,107.19,106.16,106.76,1609044
2020-02-13,106.33,106.99,104.13,104.40,2634244
2020-02-14,104.54,104.93,103.74,103.92,1801701
2020-02-17,103.90,105.24,103.68,105.10,1254924
2020-02-18,104.07,104.36,103.35,104.09,1545626
2020-02-19,104.29,104.68,103.53,104.13,1511304
2020-02-20,104.03,104.85,103.51,103.51,1559382
2020-02-21,103.08,103.72,101.89,102.63,2606282
2020-02-24,99.86,100.12,97.64,98.30,3847769
2020-02-25,98.60,98.75,96.43,96.71,3390545
2020-02-26,96.01,96.82,93.36,95.97,5193684
2020-02-27,94.02,95.02,92.04,94.21,5478110
2020-02-28,90.57,91.74,88.57,90.80,8886250
2020-03-02,90.60,92.80,88.07,89.28,6264869
2020-03-03,89.78,92.05,88.92,89.62,5231469
2020-03-04,89.52,90.08,88.68,89.59,3976765
2020-03-05,90.02,90.19,86.80,87.76,4184946
2020-03-06,85.74,86.78,84.32,84.92,5704584
2020-03-09,77.94,81.02,77.00,78.42,9682024
2020-03-10,79.43,82.32,77.80,77.92,8586149
2020-03-11,78.92,80.41,77.07,77.66,6880594
2020-03-12,74.04,74.65,67.80,67.80,12147550
2020-03-13,69.84,73.93,66.21,67.80,10496509
2020-03-16,63.81,66.71,60.97,64.22,11022132
2020-03-17,67.49,67.63,61.87,65.91,7881269
2020-03-18,63.33,63.79,58.69,59.31,7902696
2020-03-19,59.19,62.84,57.26,59.32,5501206
2020-03-20,62.88,67.20,62.63,65.27,8720991
2020-03-23,62.35,68.78,61.38,66.16,5973070
2020-03-24,70.60,73.81,69.85,73.81,6895731
2020-03-25,75.70,76.48,71.26,74.48,5656416
2020-03-26,72.58,75.18,72.15,74.76,4670634
2020-03-27,72.97,74.12,70.41,71.07,4682288
2020-03-30,71.56,73.32,70.26,73.32,3165604
2020-03-31,74.34,76.90,73.42,75.48,5078327
2020-04-01,73.07,73.39,71.52,72.12,4274737
2020-04-02,72.05,75.16,71.80,74.43,5029019
2020-04-03,74.17,75.38,73.72,74.37,3277516
2020-04-06,77.84,79.95,77.46,79.89,3990445
2020-04-07,82.68,84.46,81.90,82.31,5116911
2020-04-08,81.39,81.39,78.42,79.77,3876088
2020-04-09,80.63,81.69,78.34,79.25,4318461
2020-04-14,80.51,81.55,79.26,80.66,2715462
2020-04-15,80.67,80.74,76.01,76.54,3960255
2020-04-16,77.40,77.61,75.22,75.79,3380510
2020-04-17,78.43,80.43,78.17,78.44,4552456
2020-04-20,79.34,79.55,76.45,78.86,2780457
2020-04-21,78.01,78.12,74.80,75.54,3603011
2020-04-22,76.29,77.22,75.61,76.98,2791824
2020-04-23,77.26,78.47,76.18,78.11,2693909
2020-04-24,76.87,78.32,76.29,76.42,2830696
2020-04-27,78.14,79.68,77.79,79.65,2691959
2020-04-28,79.65,83.40,79.55,82.70,4364395
2020-04-29,82.72,86.00,82.32,85.60,3449532
2020-04-30,86.51,86.70,82.09,82.50,4575460
2020-05-04,80.28,80.53,78.15,78.72,3778433
2020-05-05,80.28,81.49,79.22,81.35,2710532
2020-05-06,81.45,81.70,79.99,80.35,1991219
2020-05-07,79.64,82.14,79.40,82.14,2584259
2020-05-08,85.26,87.80,83.88,86.06,4559752
2020-05-11,87.09,87.80,85.07,85.86,2753249
2020-05-12,85.23,86.08,84.47,85.60,2292179
2020-05-13,84.29,84.97,83.08,83.88,2788298
2020-05-14,82.81,83.72,80.13,81.98,3240074
2020-05-15,82.76,84.77,82.56,83.92,3138850
2020-05-18,85.99,89.23,85.66,89.02,3940974
2020-05-19,90.83,90.90,87.72,90.45,3950680
2020-05-20,89.98,92.35,89.36,91.90,2360937
2020-05-21,91.00,92.49,90.40,91.28,1537702
2020-05-22,89.83,92.01,89.56,91.19,1768283
2020-05-25,92.04,93.56,91.06,93.51,1503189
2020-05-26,94.99,96.24,94.19,95.87,2730936
2020-05-27,96.12,98.38,95.63,96.43,2611695
2020-05-28,96.96,97.10,95.67,96.54,2485258
2020-05-29,95.46,97.17,95.12,95.99,3760943
2020-06-02,97.82,99.51,97.62,99.39,3405614
2020-06-03,100.06,102.51,99.34,102.28,3392156
2020-06-04,101.71,103.21,101.03,101.95,3376997
2020-06-05,103.17,106.16,102.75,105.75,3909266
2020-06-08,104.54,106.62,103.58,105.34,2340060
2020-06-09,105.22,105.90,102.92,104.19,2855644
2020-06-10,104.83,105.84,102.12,102.63,2476501
2020-06-11,99.65,99.65,96.56,96.56,4136708
2020-06-12,95.60,98.63,94.99,96.02,3099229
2020-06-15,92.72,95.95,92.37,94.94,2298126
2020-06-16,97.27,99.84,96.31,98.73,3770358
2020-06-17,98.75,100.95,98.30,99.75,2369804
2020-06-18,99.18,101.87,98.89,100.02,2449420
2020-06-19,100.33,102.20,100.13,101.15,6638775
2020-06-22,100.33,101.44,99.32,99.96,1857497
2020-06-23,100.43,102.61,99.84,101.32,2075756
2020-06-24,101.09,101.65,98.62,98.65,1463959
2020-06-25,98.30,100.21,97.18,99.49,1764133
2020-06-26,100.64,102.06,99.22,99.22,1625039
2020-06-29,98.69,102.08,98.69,101.03,2070067
2020-06-30,101.23,102.36,100.52,102.06,1784282
2020-07-01,100.70,102.53,100.10,101.32,1411517
2020-07-02,102.36,104.69,101.79,103.82,1906678
2020-07-03,103.76,104.07,102.71,103.31,906191
2020-07-06,105.03,105.98,104.36,105.16,1443444
2020-07-07,104.58,105.71,104.29,105.34,1120444
2020-07-08,104.52,105.84,103.08,103.08,1742822
2020-07-09,103.84,104.93,102.65,103.00,1605291
2020-07-10,102.71,105.65,102.41,105.22,1796971
2020-07-13,106.19,107.07,105.30,106.39,1432198
2020-07-14,104.93,106.99,104.48,106.99,1772153
2020-07-15,107.15,110.29,106.88,109.12,2340301
2020-07-16,108.14,109.96,106.80,109.37,1758662
2020-07-17,108.84,109.72,108.32,109.25,1919798
2020-07-20,108.92,111.30,108.24,111.03,1457709
2020-07-21,112.04,114.09,111.83,112.57,2613910
2020-07-22,112.18,112.90,111.22,112.04,1565661
2020-07-23,111.77,112.64,111.03,111.94,1433412
2020-07-24,110.73,111.01,109.64,109.88,1299579
2020-07-27,109.02,111.09,108.67,110.38,1037480
2020-07-28,110.40,111.53,109.70,111.11,1071472
2020-07-29,111.07,111.92,110.72,111.61,1367655
2020-07-30,111.42,111.46,105.57,107.01,2499578
2020-07-31,106.60,108.01,105.36,105.53,2048592
2020-08-03,105.61,109.92,105.61,109.12,1831534
2020-08-04,109.88,110.81,107.68,107.71,1577821
2020-08-05,107.93,109.64,107.77,109.18,1429196
2020-08-06,112.04,114.18,109.53,110.95,2870542
2020-08-07,111.07,114.18,110.97,112.96,1925289
2020-08-10,113.27,113.97,112.59,112.76,1223466
2020-08-11,113.40,115.31,113.40,114.42,1928392
2020-08-12,113.81,115.76,113.46,115.33,1458151
2020-08-13,115.16,116.03,114.36,114.42,1312878
2020-08-14,113.99,114.57,112.57,113.23,1065652
2020-08-17,112.92,114.50,112.92,113.42,1005951
2020-08-18,113.13,114.94,112.78,113.66,1208452
2020-08-19,113.38,115.04,113.09,114.98,947930
2020-08-20,113.68,113.83,112.49,113.37,1063840
